"filenames","NN_Pred_Median","Lower_Quantile_0.025","Upper_Quantile_0.975"
"SABL_COMBO2022_NIR0022C_PRD_299_102155159_O1",2.3504,1.9007,2.7453
"SABL_COMBO2022_NIR0022C_PRD_300_102155160_O1",1.7375,1.4303,2.0066
"SABL_COMBO2022_NIR0022C_PRD_301_102155161_O1",2.0238,1.6742,2.3522
"SABL_COMBO2022_NIR0022C_PRD_302_102155162_O1",1.7889,1.5129,2.1327
"SABL_COMBO2022_NIR0022C_PRD_303_102155163_O1",1.8096,1.4797,2.0758
"SABL_COMBO2022_NIR0022C_PRD_304_102155164_O1",2.0794,1.6995,2.4406
"SABL_COMBO2022_NIR0022C_PRD_305_102155165_O1",2.1655,1.8087,2.5768
"SABL_COMBO2022_NIR0022C_PRD_306_102155166_O1",0.6918,0.3334,0.8908
"SABL_COMBO2022_NIR0022C_PRD_307_102155167_O1",1.0272,0.7441,1.2481
"SABL_COMBO2022_NIR0022C_PRD_308_102155168_O1",0.8686,0.607,1.091
"SABL_COMBO2022_NIR0022C_PRD_309_102155169_O1",1.1239,0.8867,1.3707
"SABL_COMBO2022_NIR0022C_PRD_310_102155170_O1",2.104,1.6138,2.6024
"SABL_COMBO2022_NIR0022C_PRD_311_102155171_O1",2.5755,2.1607,3.1452
"SABL_COMBO2022_NIR0022C_PRD_313_102155173_O1",1.9831,1.5823,2.3258
"SABL_COMBO2022_NIR0022C_PRD_314_102155174_O1",8.5825,7.1103,10.2258
"SABL_COMBO2022_NIR0022C_PRD_315_102155175_O1",5.5471,4.5232,6.5839
"SABL_COMBO2022_NIR0022C_PRD_316_102155176_O1",8.0915,6.8459,9.4416
"SABL_COMBO2022_NIR0022C_PRD_317_102155177_O1",10.0677,8.5996,12.1347
"SABL_COMBO2022_NIR0022C_PRD_319_102155179_O1",1.8784,1.5139,2.188
"SABL_COMBO2022_NIR0022C_PRD_320_102155180_O1",1.9079,1.5662,2.2582
"SABL_COMBO2022_NIR0022C_PRD_321_102155181_O1",1.9564,1.3596,3.3413
"SABL_COMBO2022_NIR0022C_PRD_322_102155182_O1",3.3943,2.7502,4.3262
"SABL_COMBO2022_NIR0022C_PRD_323_102155183_O1",2.5888,2.158,3.1799
"SABL_COMBO2022_NIR0022C_PRD_324_102155184_O1",1.7172,1.4133,2.0287
